Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,RSI-7,RSI-14,RSI,%R,%K,%D,STOCH,MACD-SL,DMI,MACD_n,SIGNAL LINE_n,MACD-SL_n,plusDI_n,minusDI_n,DMI_n,STOCH_n,%K_n,%D_n,RSI_n,%R_n,Trend GT
12/27/2004,22.37000084,21.85000038,22.26000023,21.89999962,5530900,21.89999962,wait or hold,0.22563185332112923,0.1663727169773016,37.660397578228256,16.009093542340068,0.0,44.7675490322987,53.90485908728544,53.90485908728544,-64.89899714825187,35.10100285174814,33.69733090739768,1.4036719443504637,0.05925913634382762,21.651304035888188,0.1876607400775423,0.13346934871837135,0.22659451594340418,0.7528983460619942,-0.13804354089690563,0.7121480942294647,0.043253739885967146,-0.29797994296503716,-0.32190194076234313,0.13154564019508985,-0.29797994296503716,up
12/28/2004,22.09000015,21.54999924,22.0,21.72999954,7739300,21.72999954,wait or hold,0.22150480871259148,0.16863233130703464,37.101937176686114,16.595523853460314,0.0,41.10554844457643,52.16718978635112,52.16718978635112,-61.39242506609608,38.60757493390392,36.65661615238903,1.9509587815148919,0.05287247740555684,20.5064133232258,0.18245292896564935,0.13723868516777693,0.20864835759646838,0.7269048787288117,-0.10646914893354609,0.6687182085030865,0.05231443740145614,-0.22784850132192158,-0.2612576688636222,0.08751760019426214,-0.22784850132192147,up
12/29/2004,22.35000038,21.54999924,21.75,21.95999908,6456000,21.95999908,wait or hold,0.21844840075698713,0.17066603606623929,37.00095304074852,16.2313558570843,0.0,47.84020700225272,54.313014496774684,54.313014496774684,-44.65650984063572,55.34349015936428,43.017355981672125,12.326134177692154,0.04778236469074784,20.76959718366422,0.17859612662318236,0.14063117448567963,0.19434542242071795,0.7222045851512995,-0.1260765649215131,0.6787017334434606,0.22408236520685643,0.10686980318728567,-0.13090780267990632,0.14188724126146335,0.10686980318728567,up
12/30/2004,22.22999954,21.85000038,22.01000023,21.95000076,4545900,21.95000076,wait or hold,0.21528505896863948,0.1724807026163914,36.611226041301,16.060392757615492,0.0,47.56435908824372,54.19918734508933,54.19918734508933,-45.038125263661776,54.96187473633823,49.63764660986882,5.324228126469414,0.04280435635224808,20.55083328368551,0.17460438723611804,0.14365827901453665,0.18035749434149118,0.7040647922474084,-0.13528150506791703,0.6704032198193626,0.10816115451101016,0.09923749472676469,0.004761006396349909,0.13900315601872548,0.09923749472676469,up
12/31/2004,22.13999939,21.94000053,22.0,22.02000046,3782300,22.02000046,wait or hold,0.21239637435035874,0.1740982060021055,36.4051164174949,15.969977825711377,0.0,49.92283956060496,54.91164681566493,54.91164681566493,-42.36637989772009,57.63362010227991,55.97966166599414,1.6539584362857696,0.03829816834825325,20.435138591783527,0.17095923064568153,0.14635648923058242,0.1676953553041045,0.6944714464011066,-0.1401495967152051,0.6660144976532378,0.04739739919154862,0.1526724020455983,0.13472714808559738,0.15705503392932973,0.1526724020455983,up
1/3/2005,22.29999924,21.25,22.11000061,21.40999985,9275300,21.40999985,wait or hold,0.2066097065907222,0.1754110933484245,35.33843160304501,17.427509283660196,0.0,34.25743966420815,47.91658421823141,47.91658421823141,-65.64885543674636,34.35114456325365,48.982213133957266,-14.631068570703619,0.031198613242297696,17.910922319384813,0.1636571838984464,0.1485465594843094,0.14774599815888445,0.6448227393439192,-0.06167365732474184,0.5702617563247583,-0.22221205187143722,-0.312977108734927,-0.008670711952524557,-0.020181737004301037,-0.312977108734927,up
1/4/2005,21.51000023,20.20999908,21.47999954,20.20999908,20375800,20.20999908,wait or hold,0.1953888056406079,0.1762151484680638,34.07596476254619,19.66291394293182,0.0,19.91504741284787,37.7333000222428,37.7333000222428,-99.99999999999999,0.0,30.661588221844525,-30.661588221844525,0.0191736571725441,14.413050819614373,0.14949781849382604,0.1498878300851847,0.113956536747442,0.5860613831454964,0.058684280473070505,0.4375747165571626,-0.48760796442003496,-1.0,-0.3841130456731766,-0.2781997866295741,-0.9999999999999994,up
1/5/2005,20.61000061,19.52000046,20.31999969,19.75,19217200,19.75,wait or hold,0.18259873492151613,0.1764712503159997,33.06447714761461,20.958285018865954,0.0,16.774298065517186,34.68986042299261,34.68986042299261,-93.62881931231716,6.371180687682832,13.574108416978833,-7.202927729296,0.006127484605516431,12.106192128748656,0.13335835824302422,0.15031504194053658,0.07729751346590152,0.5389818226179475,0.1284292327955583,0.3500671420584389,-0.09923424079314336,-0.8725763862463434,-0.7342846869855724,-0.3553126644043286,-0.8725763862463429,up
1/6/2005,20.11000061,19.34000015,20.06999969,19.71999931,10759300,19.71999931,wait or hold,0.17038554918777749,0.17622784937552585,32.3712435563484,21.0089887274221,0.0,16.575397075658188,34.494449838099044,34.494449838099044,-88.34358487146497,11.65641512853504,6.009198605405963,5.647216523129076,-0.005842300187748367,11.362254828926297,0.11794685427134532,0.14990901688366054,0.043663080289666256,0.5067153545584688,0.13115920554353822,0.32184688351188995,0.11350844219347778,-0.7668716974292992,-0.8893114618727858,-0.36026386256594256,-0.7668716974292992,up
1/7/2005,20.20000076,19.14999962,19.90999985,19.92000008,16590200,19.92000008,wait or hold,0.1598053782192821,0.175572961164863,31.4528679159209,20.9263261851323,0.0,23.619449607966644,37.04064061300944,37.04064061300944,-77.68115100357248,22.318848996427516,13.448814937548468,8.870034058879048,-0.01576758294558092,10.526541730788601,0.10459600949940584,0.14881657647458013,0.01577358474406565,0.46396967887023277,0.12670851556136453,0.2901452337817114,0.16686432955656239,-0.5536230200714497,-0.7368523109909203,-0.29574998226247096,-0.5536230200714494,up
1/10/2005,20.48999977,19.95999908,20.10000038,20.12999916,11584500,20.12999916,wait or hold,0.15079938052138075,0.1745878492584394,31.753651552466106,20.602281782918517,0.0,30.779195282842764,39.691354329349245,39.691354329349245,-69.56524320819973,30.434756791800265,21.47000697225428,8.964749819545986,-0.023788468737058643,11.151369769547589,0.09323157336324561,0.14717327913539924,-0.0067646606652815855,0.4779696144239509,0.10926142120929128,0.3138472430842727,0.1684324119570071,-0.3913048641639947,-0.5724750001088884,-0.22858776130880554,-0.39130486416399446,up
1/11/2005,16.75,14.80000019,16.62999916,14.85999966,99894300,14.85999966,wait or hold,0.11720094172938644,0.17231208826786676,27.66288341609472,30.420055606444535,0.0,8.219958415983996,18.566119809616467,18.566119809616467,-99.20740469157028,0.7925953084297197,17.84873369888584,-17.05613839045612,-0.055111146538480316,-2.7571721903498165,0.05083457030657268,0.14337700791379016,-0.09477965271471767,0.28756533933701056,0.637866837800827,-0.21375454567877838,-0.26236069532239814,-0.9841480938314056,-0.6466853120014036,-0.7638464955003819,-0.9841480938314052,up
1/12/2005,15.14999962,14.63000011,14.94999981,15.02000046,42202000,15.02000046,buy,0.08671894983655548,0.16892663620550322,27.312302164613016,30.448853225319443,0.0,10.542389348386664,19.95900198124062,19.95900198124062,-94.96123626334592,5.03876373665408,12.088705278961362,-7.049941542307281,-0.08220768636894774,-3.1365510607064273,0.012370131186211886,0.13772962477921347,-0.17091943082901329,0.2712475802213212,0.6394173499226012,-0.2281457716747295,-0.09670145273718578,-0.8992247252669184,-0.7647248724775282,-0.7285544684525804,-0.8992247252669182,up
1/13/2005,15.26000023,15.03999996,15.23999977,15.15999985,22226800,15.15999985,buy,0.05906468336842963,0.16459218814504475,27.42228579275785,30.26804140000774,0.0,12.795002978329236,21.228600724312983,21.228600724312983,-93.15245878536241,6.847541214637598,4.226300086573807,2.621241128063791,-0.10552750477661513,-2.845755607249888,-0.022526074177310673,0.1304991904314763,-0.23644683064959893,0.27636675400244015,0.6296821378509463,-0.2171148381771565,0.063411407362433,-0.863049175707248,-0.9258481839501467,-0.6963861242141598,-0.863049175707248,up
1/14/2005,15.44999981,15.01000023,15.19999981,15.15999985,15611800,15.15999985,buy,0.033390321176621995,0.1594282827690974,27.595578601939312,29.93521096796245,0.0,12.795002978329236,21.228600724312983,21.228600724312983,-93.13471863388936,6.865281366110636,6.250528772467445,0.6147525936431917,-0.1260379615924754,-2.339632366023139,-0.05492388941697468,0.12188511125047774,-0.29408007979333317,0.28443264544630087,0.6117619889100478,-0.197915735339798,0.030192655431770854,-0.8626943726777873,-0.8843659121683729,-0.6963861242141598,-0.862694372677787,up
1/18/2005,15.63000011,15.05000019,15.05000019,15.5,20636900,15.5,buy,0.011220566075891725,0.15360856320197885,27.64574385945136,29.498536073114597,0.0,19.49591443079133,24.597307237216512,24.597307237216512,-88.73057176719503,11.26942823280498,8.327416937851078,2.942011294953902,-0.14238799712608713,-1.8527922136632355,-0.08289933138885919,0.11217704700207554,-0.3400227752621581,0.28676758088451515,0.5882506798439346,-0.17944811048254405,0.06872197077602182,-0.7746114353439004,-0.8418044960906441,-0.6110318251991413,-0.7746114353439004,up
1/19/2005,15.86999989,15.27000046,15.32999992,15.5,17981900,15.5,buy,-0.00931832788511855,0.1472250980525944,27.833250562062855,29.050822137847437,0.0,19.49591443079133,24.597307237216512,24.597307237216512,-88.65710575380469,11.342894246195318,9.825867948370318,1.5170262978249998,-0.15654342593771295,-1.2175715757845822,-0.1088168317654874,0.10152858033921475,-0.3797987472339751,0.2954950561640972,0.5641450103184642,-0.15535187194292532,0.04513039658434126,-0.7731421150760937,-0.8110969221375602,-0.6110318251991413,-0.7731421150760934,up
1/20/2005,15.72999954,15.19999981,15.35999966,15.64000034,16476200,15.64000034,buy,-0.02764187751630942,0.14038847135813579,27.457303903586393,28.836827094973234,0.0,22.819769946803333,26.10641652737337,26.10641652737337,-86.8318077631907,13.168192236809306,11.926838238603208,1.2413539982060975,-0.1680303488744452,-1.3795231913868413,-0.13193884628920405,0.09012418010537226,-0.4120763653022198,0.2779966674526648,0.5526231581327907,-0.1614952881493965,0.04056645835190076,-0.7366361552638139,-0.7680419940100115,-0.5727949039639433,-0.7366361552638137,up
1/21/2005,15.82999992,15.43999958,15.64000034,15.48999977,12209600,15.48999977,buy,-0.04530266656933435,0.1331435796146787,27.439053465698933,28.54705515346617,0.0,21.6998387777074,25.517146374341763,25.517146374341763,-88.78748686376969,11.212513136230324,11.907866539744987,-0.6953534035146625,-0.17844624618401306,-1.1080016877672385,-0.15422454033885635,0.07803873961171215,-0.4413444606005008,0.2771472031759965,0.5370213505733386,-0.15119548595514887,0.008502979475049743,-0.7757497372753935,-0.7684307787227681,-0.5877254835943826,-0.7757497372753934,up
