Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,RSI-7,RSI-14,RSI,%R,%K,%D,STOCH,MACD-SL,DMI,MACD_n,SIGNAL LINE_n,MACD-SL_n,plusDI_n,minusDI_n,DMI_n,STOCH_n,%K_n,%D_n,RSI_n,%R_n,Trend GT
6/25/2002,27.79999924,26.67000008,27.30500031,26.67499924,2244400,15.40456772,wait or hold,-0.019608908363704103,-0.00026929959610329105,21.296667636479548,28.056322680299306,0.0,30.241050738331168,38.40165906475696,38.40165906475696,-99.03847629437657,0.9615237056234239,21.220494790317066,-20.25897108469364,-0.01933960876760081,-6.759655043819759,0.3017557669984736,0.28734040300950103,-0.051551132359886065,0.2662835615764041,0.5798913830896837,-0.267180288162712,-0.3563527376466955,-0.9807695258875315,-0.5906191946011299,-0.376061851549792,-0.980769525887531,up
6/26/2002,27.19499969,25.875,26.0,27.13500023,3326600,15.67020226,wait or hold,-0.02355249357711031,-0.0012235720915863906,20.65426130883317,29.026748439347294,0.0,40.1945746552198,42.84230603903746,42.84230603903746,-62.66665985185187,37.333340148148125,22.444454100663723,14.888886047484402,-0.02232892148552392,-8.372487130514124,0.295989736400176,0.28564071200459673,-0.06026287616007131,0.2280865729002104,0.6345374360353446,-0.3478505271562733,0.3169203698010601,-0.2533331970370376,-0.5656527100203661,-0.23626866453055595,-0.25333319703703716,up
6/27/2002,27.5,26.5,27.02499962,27.45000076,2168000,15.85211182,wait or hold,-0.025720236251860484,-0.002223630567445025,20.87880361857418,28.364765339672545,0.0,46.31433706932794,45.72762141886335,45.72762141886335,-53.33331081481476,46.66668918518524,28.320517679652294,18.346171505532947,-0.02349660568441546,-7.485961721098363,0.29282021680938497,0.28385946985013777,-0.0636658542156211,0.24143768681891542,0.5972602273703074,-0.3035085170726243,0.38314623713973384,-0.06666621629629532,-0.4457919846676136,-0.14543788360210097,-0.06666621629629499,up
6/28/2002,27.73999977,26.5,27.125,26.75499916,4052400,15.45075226,wait or hold,-0.03088639834518858,-0.0033893523277539316,20.83602492240534,27.568555557364167,0.0,36.6584991289773,40.83028230168506,40.83028230168506,-73.9259508148148,26.074049185185203,36.69135950617289,-10.617310320987684,-0.027497046017434648,-6.732530634958827,0.28526662100913946,0.28178315852439284,-0.07532432375620657,0.23889409827873065,0.5524245235421641,-0.2658235861455447,-0.17166236295541926,-0.478519016296296,-0.2750424412611042,-0.2996079059140526,-0.4785190162962958,up
7/1/2002,27.10000038,26.43000031,26.75499916,26.54000092,2219600,15.32659912,wait or hold,-0.03661239695349394,-0.0047356502812000096,20.518202705272707,27.307402871282367,0.0,34.09319912913857,39.42367628708208,39.42367628708208,-78.19668571458394,21.803314285416054,31.514684218595534,-9.71136993317948,-0.03187674667229393,-6.78920016600966,0.2768944719633779,0.279385216078996,-0.08808807035182786,0.219996632443773,0.5377186448312281,-0.26865806882432963,-0.15430866489729067,-0.5639337142916789,-0.3806369513517339,-0.34388837648526616,-0.5639337142916785,up
7/2/2002,26.875,25.67499924,26.60000038,26.05999947,2846200,15.04940224,wait or hold,-0.04408372955659701,-0.006324614015488935,19.96126390663482,28.273969404976828,0.0,28.8370390775072,36.40803516170545,36.40803516170545,-88.15383907692299,11.84616092307701,19.907841464559457,-8.061680541482447,-0.03775911554110807,-8.312705498342009,0.2659704193391057,0.2765550523898259,-0.10523103776906717,0.186881477643158,0.592147379315346,-0.34486038416833587,-0.1227081181301134,-0.7630767815384598,-0.6173948714887328,-0.43882185943590757,-0.7630767815384596,up
7/3/2002,26.54999924,25.50499916,26.17000008,26.14999962,2669200,15.10137844,wait or hold,-0.05051163941573833,-0.008103036062772271,19.4907474329756,27.990969770637513,0.0,31.15869261048674,37.37531790262145,37.37531790262145,-81.1403378680623,18.8596621319377,17.503045780143623,1.3566163517940772,-0.04240860335296606,-8.500222337661913,0.25657198544577686,0.27338743729979753,-0.11878102415093128,0.15890492815590407,0.5762112679152527,-0.3542395553592179,0.057703620552997714,-0.6228067573612461,-0.666448213268412,-0.4083714458172347,-0.6228067573612459,up
7/5/2002,27.29000092,26.15999985,26.27499962,27.07500076,1283200,15.63554955,wait or hold,-0.05205662999147265,-0.00986640164270848,20.65306195165019,27.274695887319567,0.0,50.51629076744519,46.39942714840577,46.39942714840577,-54.09352154167195,45.90647845832805,25.537433837780956,20.369044620547097,-0.04219022834876417,-6.621633935669376,0.254313009805164,0.27024663985592023,-0.11814461462523518,0.22801526003985173,0.5358768681052295,-0.2602767822909582,0.4218952869892403,-0.08187043083343903,-0.5025616985279328,-0.12428919411283246,-0.08187043083343881,up
7/8/2002,27.19499969,26.53499985,27.0,26.72500038,1711000,15.43343258,wait or hold,-0.055060908302472455,-0.011673980620621758,20.34523562623111,26.86817653287364,0.0,44.93813722704815,43.826057661980734,43.826057661980734,-64.3274505420479,35.672549457952094,33.479563349405986,2.1929861085461084,-0.0433869276818507,-6.522940906642532,0.24992036713875532,0.26702709224875787,-0.12163215138684424,0.20971214227738244,0.5129851858107684,-0.25534037861677783,0.07372466169317682,-0.2865490108409582,-0.3405570858629461,-0.20529980449662633,-0.28654901084095774,up
7/9/2002,27.0,26.17000008,26.54999924,26.17000008,1861400,15.11292458,wait or hold,-0.06038522118559797,-0.01361646642980743,19.96309191550072,27.189509814997688,0.0,37.31528844559626,40.03437512890281,40.03437512890281,-80.55552910981216,19.444470890187848,33.67449960215603,-14.230028711968185,-0.04676875475579054,-7.226417899496969,0.24213553447059155,0.2635672569578371,-0.13148779842840363,0.18699016965154236,0.5310799193691398,-0.290526717981065,-0.24086561845637178,-0.611110582196243,-0.33658075028759316,-0.32466335411768465,-0.6111105821962428,up
7/10/2002,26.62000084,25.54999924,26.61499977,25.62000084,2515600,14.79530525,wait or hold,-0.06783557121219275,-0.015772468278930946,19.48133012276098,27.93169436475144,0.0,31.19699075888957,36.650366663147295,36.650366663147295,-96.34334934246722,3.6566506575327793,19.591223668557607,-15.934573011024828,-0.0520631029332618,-8.45036424199046,0.2312421610814901,0.2597271201343845,-0.14691709916183537,0.15834498209661496,0.5728733856113002,-0.3517457653814754,-0.27351693579536174,-0.9268669868493444,-0.6238532833452812,-0.4311931753504763,-0.9268669868493441,up
7/11/2002,25.95000076,24.87000084,25.27499962,25.67499924,3122800,14.82706738,wait or hold,-0.07437623971688367,-0.018096485771447117,19.00846819966234,28.781989754507727,0.0,32.48837977195389,37.2218186748956,37.2218186748956,-72.89567047071138,27.104329529288616,16.735150359003118,10.369179170285499,-0.05627975394543656,-9.773521554845388,0.2216788594941015,0.2555877242637423,-0.15920567074305858,0.13022897398041766,0.6207547268214273,-0.41792712271846677,0.23034333944267682,-0.45791340941422776,-0.6821118460619837,-0.41320365751365407,-0.4579134094142274,up
7/12/2002,26.29999924,25.20999908,25.90500069,25.53000069,2489400,14.74333191,wait or hold,-0.08102119450581924,-0.02058533696749669,19.328247665870038,28.079482117563238,0.0,30.715158980275703,36.29232019972603,36.29232019972603,-77.77777766554426,22.222222334455743,17.661067507092415,4.561154827363328,-0.06043585753832255,-8.7512344516932,0.21196307789844715,0.2511547368199101,-0.1713177891879325,0.14924281634770287,0.5811955238991342,-0.3667946175980188,0.11908800507660433,-0.5555555533108851,-0.6632248650934017,-0.4424646086601991,-0.5555555533108851,up
